Product,Period,Value
1,1,9057.0
1,2,8941.0
1,3,9051.0
1,4,9092.0
1,5,9158.0
1,6,9002.0
1,7,9162.0
1,8,9308.0
1,9,8988.0
1,10,9003.0
1,11,9276.0
1,12,9028.0
1,13,8927.0
1,14,9208.0
1,15,9182.0
1,16,9239.0
1,17,9312.0
1,18,9110.0
1,19,9211.0
1,20,9241.0
1,21,9060.0
1,22,9295.0
1,23,9101.0
1,24,9342.0
1,25,9355.0
1,26,9248.0
1,27,9296.0
1,28,9321.0
1,29,9391.0
1,30,9200.0
1,31,9422.0
1,32,9399.0
1,33,9180.0
1,34,9171.0
1,35,9282.0
1,36,9275.0
1,37,9182.0
1,38,9347.0
1,39,9331.0
1,40,9204.0
