Product,Period,Value
3,1,17599.0
3,2,17634.0
3,3,17311.0
3,4,17504.0
3,5,17372.0
3,6,17282.0
3,7,17142.0
3,8,17219.0
3,9,17193.0
3,10,16934.0
3,11,16857.0
3,12,16849.0
3,13,16915.0
3,14,16884.0
3,15,16745.0
3,16,16644.0
3,17,16522.0
3,18,16470.0
3,19,16559.0
3,20,16570.0
3,21,16392.0
3,22,16406.0
3,23,16221.0
3,24,16379.0
3,25,16202.0
3,26,16068.0
3,27,16177.0
3,28,16087.0
3,29,15925.0
3,30,15983.0
3,31,15918.0
3,32,15774.0
3,33,15670.0
3,34,15752.0
3,35,15642.0
3,36,15605.0
3,37,15421.0
3,38,15274.0
3,39,15350.0
3,40,15240.0
